(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0.093159671699863;+;0.217897963573564;0.391144408287644;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;10;-652.675420793812;1326.00952422236;9.11516344773622;0.00132050290847784
-0.0595881026098847;+;0.127399944403423;0.278701201875804;+;+;NA;NA;0.471508619323862;+;NA;NA;NA;NA;NA;NA;11;-651.614220842147;1326.02123447709;9.12687370246749;0.00131279378673086
0.100767219135535;+;0.263515477688128;0.383495127721397;+;NA;NA;+;0.480209131409478;+;+;NA;NA;NA;NA;NA;12;-650.542174988059;1326.02410901226;9.12974823764307;0.00131090830606644
0.0375963383961699;+;0.468742696618553;0.54726338717443;+;+;NA;+;NA;+;+;NA;+;NA;NA;NA;13;-649.46827186223;1326.03624160966;9.14188083503632;0.00130298001671702
0.0750411180394146;+;-0.0308320576346507;0.508139011408898;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;11;-651.671152277419;1326.13509734763;9.24073657301255;0.00124014225234778
-0.0780548764639735;+;0.269885708996596;0.44257622800104;+;NA;NA;NA;0.43394792110942;+;+;NA;NA;NA;NA;NA;11;-651.721002573736;1326.23479794027;9.34043716564588;0.00117983641363654
-0.0964006372263277;+;-0.0775443042620626;0.543505354684743;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;10;-652.827422327542;1326.31352728981;9.41916651519546;0.00113429478336419
0.12358717657537;+;0.0379384771287867;0.338264919734668;+;+;NA;+;0.534449978336521;NA;+;NA;NA;NA;NA;NA;12;-650.697784092446;1326.33532722104;9.44096644641832;0.00112199814743263
0.116179818746267;+;0.226420254980021;0.249838510123646;+;NA;+;+;0.512121933324603;+;NA;NA;NA;NA;NA;NA;12;-650.710171710693;1326.36010245753;9.46574168291158;0.00110818499537482
0.0909416930463024;+;-0.0518196474461051;0.335288885893843;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;11;-651.798005083608;1326.38880296001;9.49444218538974;0.0010923958225245
0.0559809315051416;+;0.425889399189958;0.359716185773635;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;13;-649.67691224175;1326.4535223687;9.55916159407639;0.00105761204827454
0.133916345929803;+;0.0275342984796804;0.231768016287078;+;+;+;+;0.549269549019884;NA;NA;NA;NA;NA;NA;NA;12;-650.767984614646;1326.47572826544;9.58136749081814;0.00104593438451889
0.115930381997485;+;-0.0822258709228722;0.0743064307816022;+;+;+;+;NA;NA;+;NA;NA;+;NA;NA;13;-649.738846370198;1326.57739062559;9.68302985097262;0.000994096945589163
0.0777966625286139;+;0.379342541191151;0.150290155395294;+;+;+;+;NA;+;+;NA;+;+;NA;NA;15;-647.599314695375;1326.6575959561;9.7632351814807;0.000955019794432641
-0.0869854048549597;+;-0.099171781639849;0.378283835940392;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-653.003230945565;1326.66514452586;9.77078375124211;0.000951422071348524
-0.0674874357759029;+;0.223962764054995;0.302358110921291;+;NA;+;NA;0.474636172737515;+;NA;NA;NA;NA;NA;NA;11;-651.937906318376;1326.66860542954;9.77424465492481;0.000949777104951302
0.0727370624714734;+;0.0294022822918201;0.492273585663812;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;11;-651.960700368606;1326.71419353;9.81983275538573;0.00092837271107434
-0.0977555873404781;+;0.1950230364539;0.59285217984509;+;+;NA;NA;NA;+;+;NA;NA;NA;NA;NA;11;-651.966425733473;1326.72564425974;9.83128348511877;0.000923072625511127
0.122062846719043;+;0.276943015264094;0.0573230905579726;+;NA;+;+;0.404647141928262;+;+;NA;NA;+;NA;NA;14;-648.729319193311;1326.73136565935;9.83700488473096;0.000920435765261372
0.101602544357875;+;0.263892256973342;0.381113854266345;+;NA;NA;+;0.487084098102864;+;+;NA;NA;NA;+;NA;13;-649.821212672626;1326.74212323045;9.84776245582907;0.000915498229545348
-0.0655244894809235;+;-0.0168909867913856;0.387010422224754;+;+;NA;NA;0.501879092301456;NA;+;NA;NA;NA;NA;NA;11;-651.977600125111;1326.74799304301;9.85363226839581;0.000912815267086576
0.0554154698188936;+;0.200469230903828;0.554728781882921;+;+;NA;+;NA;+;+;NA;NA;NA;NA;NA;12;-650.941914310328;1326.8235876568;9.9292268821805;0.000878957210781316
-0.101855551293868;+;-0.0106022730451966;0.554255315982117;+;NA;+;NA;NA;NA;+;NA;NA;NA;NA;NA;10;-653.129222964631;1326.91712856399;10.0227677893738;0.000838794517995391
0.116752000694152;+;0.113821216535384;0.358651984517322;+;NA;+;+;0.534128978391634;NA;+;NA;NA;NA;NA;NA;12;-650.994282453364;1326.92832394287;10.0339631682532;0.000834112323740633
-0.0707276136945039;+;0.269430850225286;0.421521615216932;+;NA;NA;NA;0.49354593932328;+;+;NA;NA;NA;+;NA;12;-650.996863141009;1326.93348531816;10.0391245435444;0.000831962515556554
-0.0580297307378823;+;-0.0266913384372138;0.282523015441147;+;+;+;NA;0.523370228555274;NA;NA;NA;NA;NA;NA;NA;11;-652.07526655398;1326.94332590075;10.0489651261339;0.000827879071738332
0.11898529857547;+;0.000447660180248994;0.266862339040065;+;+;+;+;0.36152778358431;NA;NA;+;NA;NA;NA;NA;13;-649.926657781734;1326.95301344867;10.058652674046;0.000823878708899971
0.0934257089432005;+;0.189637704658619;0.119008872475193;+;+;+;+;NA;+;+;NA;NA;+;NA;NA;14;-648.853916269801;1326.98055981233;10.0861990377095;0.000812609065215022
0.0869807538897082;+;0.393364005257228;0.397134714932142;+;+;NA;+;0.431956959598251;+;+;NA;+;NA;NA;NA;14;-648.875931480678;1327.02459023408;10.1302294594641;0.000794914791517392
0.152075383810168;+;-0.0118860157485951;-0.00353248542597673;+;+;+;+;0.477120270665269;NA;+;NA;NA;+;NA;NA;14;-648.987467115828;1327.24766150438;10.3533007297644;0.000711019100187564
0.101536399052666;+;0.360832257395397;0.266579150244892;+;+;+;+;0.457688749410954;+;NA;NA;+;NA;NA;NA;14;-649.006684414176;1327.28609610108;10.3917353264599;0.000697485688308533
0.0769449869947951;+;0.138513610475752;0.345322920562521;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;12;-651.194162535783;1327.32808410771;10.4337233330921;0.00068299530920219
-0.0729793119355044;+;0.0665221358515352;0.432170771920565;+;NA;+;NA;0.506176628154558;NA;+;NA;NA;NA;NA;NA;11;-652.268552345689;1327.32989748417;10.4355367095523;0.000682376326048905
-0.104448317724623;+;0.271780777985753;0.619909204581402;+;NA;+;NA;NA;+;+;NA;NA;NA;NA;NA;11;-652.268880477904;1327.3305537486;10.4361929739807;0.000682152453126064
0.109395634147445;+;0.280495310340061;0.0853299199260022;+;NA;+;+;0.25277573843397;+;+;NA;NA;+;+;NA;15;-647.940809297295;1327.34058515994;10.4462243853211;0.000678739543429209
-0.0706210438488773;+;-0.0545512433068027;0.318926212647935;+;+;+;NA;0.324489653010864;NA;NA;+;NA;NA;NA;NA;12;-651.207465485;1327.35469000614;10.4603292315251;0.000673969624506079
-0.085941669641018;+;0.130321397723449;0.385933470977346;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;11;-652.286958963729;1327.36671072025;10.4723499456327;0.000669930975438635
0.0727935681347793;+;0.401200520869436;0.324210733880044;+;+;+;+;0.172509523913421;+;NA;+;+;NA;NA;NA;15;-647.961872388325;1327.382711342;10.4883505673804;0.000664592701768522
0.0510463421499975;+;0.267610191602333;0.555615021370578;+;NA;+;+;NA;+;+;NA;NA;NA;NA;NA;12;-651.238067245888;1327.41589352792;10.5215327533017;0.000653657348049184
0.10627769116666;+;0.182453874096925;0.38463496307405;+;+;NA;+;0.48405170127098;+;+;NA;NA;NA;NA;NA;13;-650.178805558504;1327.45730900221;10.562948227586;0.000640260768639838
-0.0703584224774079;+;0.178185444693841;0.443366620348198;+;+;NA;NA;0.438689018797426;+;+;NA;NA;NA;NA;NA;12;-651.346915298394;1327.63358963293;10.7392288583142;0.00058624349807994
0.0864003442251414;+;0.395179524963576;0.399454392925292;+;+;NA;+;0.425207970201358;+;+;NA;+;NA;+;NA;15;-648.118559732661;1327.69608603067;10.8017252560519;0.000568207705250414
0.122483793252977;+;0.140717649138573;0.244688028916363;+;+;+;+;0.513371226862705;+;NA;NA;NA;NA;NA;NA;13;-650.325952753253;1327.7516033917;10.8572426170833;0.000552651912096176
0.142434410390546;+;-0.0300405159347182;0.0168931563437327;+;+;+;+;0.35286798028471;NA;+;+;NA;+;NA;NA;15;-648.23941968848;1327.93780594231;11.0434451676902;0.000503521833319506
0.115363829330527;+;0.325388656353866;0.0710410836705336;+;+;+;+;0.375280947075241;+;+;NA;+;+;NA;NA;16;-647.159346696716;1327.9772299788;11.0828692041794;0.000493693587276755
-0.0598167948979275;+;0.131693562814748;0.296570818036221;+;+;+;NA;0.476177447224277;+;NA;NA;NA;NA;NA;NA;12;-651.546032807785;1328.03182465171;11.1374638770944;0.000480399341567971
0.104184712046272;+;0.342953001524492;0.094257855164187;+;+;+;+;0.265632721800198;+;+;+;+;+;+;+;19;-643.84784698315;1328.03415550476;11.1397947301416;0.000479839797550446
0.098504072375748;+;0.26283074155891;0.412582918338571;+;NA;+;+;0.484919886395988;+;+;NA;NA;NA;NA;NA;13;-650.474385409182;1328.04846870356;11.1541079289409;0.000476418035039465
0.0383746387951538;+;0.468117291604407;0.541913021913071;+;+;+;+;NA;+;+;NA;+;NA;NA;NA;14;-649.389608249929;1328.05194377258;11.1575829979656;0.000475590961004195
0.0777178429859382;+;-0.0333490953745358;0.484708468766343;+;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;12;-651.592427371977;1328.1246137801;11.2302530054797;0.000458620538859647
0.130002207973716;+;0.180250917800751;0.0413298469100007;+;+;+;+;0.406213255255195;+;+;NA;NA;+;NA;NA;15;-648.333172194993;1328.12531095534;11.2309501807163;0.000458460697279317
0.111007216834222;+;0.177411007834854;0.369733582305075;+;+;NA;+;0.527311446303314;+;+;NA;NA;NA;+;NA;14;-649.427158022553;1328.12704331783;11.2326825432142;0.000458063759154943
0.10398695635765;+;0.130974726776821;0.285653886558645;+;+;+;+;0.300353688976269;+;NA;+;NA;NA;NA;NA;14;-649.436959692269;1328.14664665726;11.2522858826458;0.000453595901481445
-0.0784033477677212;+;0.267991780112066;0.496196523714754;+;NA;+;NA;0.443881099953625;+;+;NA;NA;NA;NA;NA;12;-651.635023584312;1328.20980620477;11.3154454301484;0.000439495264835555
-0.0569383212929217;+;0.165494877892675;0.407273197492156;+;+;NA;NA;0.541694433477672;+;+;NA;NA;NA;+;NA;13;-650.58583016778;1328.27135822076;11.3769974461372;0.00042617537292684
-0.0962925386324129;+;-0.07680273156864;0.546157371591077;+;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;11;-652.757739704986;1328.30827220276;11.4139114281454;0.000418381603916019
-0.074181572792937;+;0.121393638393903;0.339224655668229;+;+;+;NA;0.247297081002099;+;NA;+;NA;NA;NA;NA;13;-650.617105162427;1328.33390821005;11.4395474354305;0.000413053010912962
0.122741575700666;+;0.0400188535603932;0.349093189987453;+;+;+;+;0.536440446840417;NA;+;NA;NA;NA;NA;NA;13;-650.620698913756;1328.34109571271;11.4467349380884;0.000411571265213596
0.095021324837175;+;0.354182713905946;0.113359595800691;+;+;+;+;0.175990327700377;+;+;+;+;+;NA;NA;17;-646.277615914495;1328.42679146202;11.5324306873974;0.00039430878256984
0.101321888092801;+;0.348957179555578;0.101825567662723;+;+;+;+;0.226215846711731;+;+;NA;+;+;+;NA;17;-646.346620019966;1328.56479967296;11.6704388983412;0.00036801739607341
-0.0664150299149305;+;-0.0103541872415679;0.422082092748559;+;+;+;NA;0.508645170561686;NA;+;NA;NA;NA;NA;NA;12;-651.890884452116;1328.72152794038;11.8271671657567;0.000340279070075526
-0.0982889003672259;+;0.199526034377732;0.611264320173051;+;+;+;NA;NA;+;+;NA;NA;NA;NA;NA;12;-651.891100199468;1328.72195943508;11.8275986604619;0.000340205663685905
0.119167623046698;+;0.194453908395407;0.0652413726131223;+;+;+;+;0.286569646925465;+;+;NA;NA;+;+;NA;16;-647.536350837803;1328.73123826097;11.8368774863523;0.000338630964789512
0.100628942343647;+;0.262946956669499;0.406714708855571;+;NA;+;+;0.506306087824466;+;+;NA;NA;NA;+;NA;14;-649.732992913901;1328.73871310053;11.8443523259095;0.000337367720830972
0.117968778291804;+;0.168788396431365;0.066684304815866;+;+;+;+;0.261639043221474;+;+;+;NA;+;NA;NA;16;-647.555044503979;1328.76862559332;11.8742648187051;0.000332359511434992
0.0564004014876103;+;0.199528993423622;0.547658131200945;+;+;+;+;NA;+;+;NA;NA;NA;NA;NA;13;-650.8633418275;1328.8263815402;11.9320207655771;0.000322898901369516
0.11122375877331;+;0.0125001960791096;0.357982074017944;+;+;+;+;0.365009279127342;NA;+;+;NA;NA;NA;NA;14;-649.799178268677;1328.87108381008;11.9767230354623;0.000315761802702704
-0.067899468927862;+;0.266895854530156;0.471177097644277;+;NA;+;NA;0.531329620503964;+;+;NA;NA;NA;+;NA;13;-650.887424426646;1328.87454673849;11.9801859638687;0.000315215545493459
0.0777405081317362;+;0.382910416911159;0.151164983710029;+;+;+;+;-0.00695493270523684;+;+;+;+;+;+;NA;18;-645.449470485599;1328.9971004804;12.1027397057819;0.00029648001266944
0.0854477236319561;+;0.397383529370269;0.414175574991476;+;+;+;+;0.434593235489662;+;+;NA;+;NA;NA;NA;15;-648.791362554584;1329.04169167452;12.1473308998989;0.000289942958327621
-0.076368285640815;+;-0.0386217502682928;0.430568479548938;+;+;+;NA;0.329545129363536;NA;+;+;NA;NA;NA;NA;13;-651.0523486248;1329.2043951348;12.3100343601768;0.000267289536726939
0.0619323963667927;+;0.427634814626811;0.436528039601873;+;+;+;+;0.171161200583767;+;+;+;+;NA;NA;NA;16;-647.785076461786;1329.22868950894;12.3343287343193;0.00026406236095785
0.105627642101695;+;0.184335817418204;0.0939012888360375;+;+;+;+;0.125070032265461;+;+;+;NA;+;+;NA;17;-646.750129633231;1329.37181889949;12.4774581248707;0.000245825170863008
0.104620600251229;+;0.187046977910607;0.403093148055849;+;+;+;+;0.486860053079459;+;+;NA;NA;NA;NA;NA;14;-650.095263678441;1329.46325462961;12.5688938549904;0.000234839600647801
-0.0715231636243125;+;0.188202938121892;0.486012938683621;+;+;+;NA;0.446036332846114;+;+;NA;NA;NA;NA;NA;13;-651.251789282918;1329.60327645103;12.7089156764127;0.000218960603284257
0.0856077213428343;+;0.397942722049352;0.414190802485598;+;+;+;+;0.434665931497158;+;+;NA;+;NA;+;NA;16;-648.019699408066;1329.6979354015;12.8035746268781;0.000208838733635558
0.0570636490804615;+;0.436592466445795;0.450181702265761;+;+;+;+;0.121775168762777;+;+;+;+;NA;+;NA;17;-647.004873011812;1329.88130565665;12.986944882032;0.000190542871624487
0.0901337934485882;+;0.17151427401792;0.418262328962714;+;+;+;+;0.29410618808014;+;+;+;NA;NA;NA;NA;15;-649.236065788355;1329.93109814206;13.0367373674405;0.000185857634446853
-0.0829998522956397;+;0.171660783344851;0.500265787639495;+;+;+;NA;0.24207586592971;+;+;+;NA;NA;NA;NA;14;-650.366463874961;1330.00565502265;13.1112942480306;0.000179056703345864
0.10989396488229;+;0.181518509021909;0.388267095592192;+;+;+;+;0.538721285998788;+;+;NA;NA;NA;+;NA;15;-649.328589228131;1330.11614502161;13.2217842469915;0.0001694329942773
-0.0560036866633891;+;0.174569815555658;0.449733350161466;+;+;+;NA;0.567836411609804;+;+;NA;NA;NA;+;NA;14;-650.473094147613;1330.21891556795;13.324554793335;0.000160946540215517
0.0930408688944599;+;0.169047940619052;0.410516772412592;+;+;+;+;0.321782728776355;+;+;+;NA;NA;+;NA;16;-648.467837286494;1330.59421115835;13.6998503837347;0.000133409649546109
-0.0707738899033279;+;0.161547426118463;0.472013320644644;+;+;+;NA;0.339402105331823;+;+;+;NA;NA;+;NA;15;-649.591785859081;1330.64253828351;13.7481775088918;0.000130224632776921
